freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.415e+01,1.536e+02,3.532e+01,2.031e+02
1.6,3.539e+01,1.066e+02,7.582e+01,2.178e+02
3.2,3.889e+01,4.344e+01,7.376e+01,1.561e+02
4.7,3.814e+01,4.290e+02,6.901e+01,5.362e+02
6.3,3.871e+01,1.396e+03,7.878e+01,1.513e+03
7.9,3.621e+01,2.187e+03,8.486e+01,2.308e+03
9.5,4.124e+01,3.177e+03,7.711e+01,3.295e+03
11.1,3.821e+01,4.506e+03,7.356e+01,4.618e+03
12.7,4.275e+01,6.255e+03,7.743e+01,6.375e+03
14.2,4.419e+01,8.422e+03,7.150e+01,8.537e+03
15.8,3.608e+01,1.106e+04,7.791e+01,1.117e+04
17.4,4.017e+01,1.448e+04,8.909e+01,1.461e+04
19.0,4.394e+01,1.948e+04,1.363e+02,1.966e+04
20.6,1.033e+02,2.630e+04,2.245e+02,2.663e+04
22.1,3.576e+02,3.901e+04,5.094e+02,3.988e+04
23.7,1.404e+03,3.931e+04,6.478e+02,4.136e+04
25.3,2.790e+03,3.273e+04,3.274e+02,3.584e+04
26.9,3.430e+03,3.837e+04,6.564e+02,4.245e+04
28.5,9.304e+03,5.252e+04,2.389e+03,6.422e+04
30.1,1.277e+04,8.849e+04,4.167e+03,1.054e+05
31.6,4.578e+03,1.052e+05,4.341e+03,1.141e+05
33.2,3.494e+03,1.286e+05,6.494e+03,1.386e+05
34.8,4.812e+03,1.705e+05,1.057e+04,1.859e+05
36.4,2.557e+03,1.664e+05,1.422e+04,1.832e+05
38.0,2.083e+03,1.210e+05,1.698e+04,1.400e+05
39.5,3.592e+03,8.022e+04,9.725e+03,9.354e+04
41.1,5.465e+03,6.199e+04,4.465e+03,7.192e+04
42.7,7.294e+03,7.600e+04,1.496e+04,9.825e+04
44.3,6.000e+03,8.427e+04,2.632e+04,1.166e+05
45.9,5.037e+03,7.578e+04,2.442e+04,1.052e+05
47.5,3.109e+03,6.861e+04,1.587e+04,8.759e+04
49.0,1.115e+03,5.016e+04,6.338e+03,5.762e+04
50.6,1.633e+03,5.221e+04,1.415e+04,6.799e+04
52.2,2.507e+03,6.550e+04,2.456e+04,9.257e+04
53.8,2.320e+03,6.454e+04,2.618e+04,9.305e+04
55.4,1.970e+03,6.073e+04,2.623e+04,8.893e+04
56.9,1.771e+03,5.812e+04,2.610e+04,8.599e+04
58.5,1.728e+03,5.822e+04,2.656e+04,8.650e+04
60.1,1.657e+03,5.733e+04,2.693e+04,8.591e+04
61.7,1.713e+03,5.330e+04,2.773e+04,8.275e+04
63.3,1.620e+03,4.703e+04,2.710e+04,7.575e+04
64.9,1.495e+03,4.017e+04,2.440e+04,6.607e+04
66.4,2.516e+03,3.781e+04,2.776e+04,6.808e+04
68.0,2.605e+03,3.749e+04,3.004e+04,7.014e+04
69.6,2.468e+03,3.220e+04,2.550e+04,6.017e+04
71.2,3.228e+03,2.876e+04,2.843e+04,6.041e+04
72.8,2.907e+03,2.503e+04,2.791e+04,5.585e+04
74.3,2.302e+03,2.053e+04,2.412e+04,4.695e+04
75.9,2.052e+03,1.797e+04,2.209e+04,4.211e+04
77.5,1.881e+03,1.640e+04,2.151e+04,3.978e+04
79.1,1.955e+03,1.468e+04,2.272e+04,3.935e+04
80.7,1.959e+03,1.359e+04,2.383e+04,3.939e+04
82.3,1.999e+03,1.291e+04,2.478e+04,3.970e+04
83.8,2.071e+03,1.218e+04,2.615e+04,4.041e+04
85.4,2.174e+03,1.205e+04,2.825e+04,4.247e+04
87.0,2.244e+03,1.304e+04,3.096e+04,4.625e+04
88.6,2.129e+03,1.372e+04,3.382e+04,4.967e+04
90.2,1.964e+03,1.404e+04,3.718e+04,5.319e+04
91.7,2.048e+03,1.541e+04,4.166e+04,5.912e+04
93.3,2.384e+03,1.614e+04,4.519e+04,6.371e+04
94.9,2.737e+03,1.584e+04,4.811e+04,6.668e+04
96.5,3.500e+03,1.625e+04,5.158e+04,7.134e+04
98.1,5.473e+03,1.677e+04,5.287e+04,7.511e+04
99.7,8.836e+03,1.671e+04,4.977e+04,7.532e+04
101.2,1.281e+04,1.601e+04,4.298e+04,7.180e+04
102.8,1.632e+04,1.474e+04,3.439e+04,6.545e+04
104.4,1.871e+04,1.330e+04,2.611e+04,5.811e+04
106.0,2.035e+04,1.187e+04,1.849e+04,5.071e+04
107.6,2.069e+04,1.036e+04,1.304e+04,4.410e+04
109.1,2.103e+04,9.856e+03,1.109e+04,4.198e+04
110.7,2.164e+04,1.010e+04,1.161e+04,4.335e+04
112.3,2.031e+04,9.697e+03,1.051e+04,4.052e+04
113.9,1.798e+04,9.193e+03,7.040e+03,3.421e+04
115.5,1.614e+04,8.913e+03,4.971e+03,3.002e+04
117.1,1.377e+04,7.518e+03,4.017e+03,2.530e+04
118.6,1.134e+04,5.815e+03,3.134e+03,2.029e+04
120.2,9.768e+03,4.772e+03,2.415e+03,1.695e+04
121.8,8.826e+03,4.407e+03,1.902e+03,1.514e+04
123.4,1.050e+04,5.545e+03,2.013e+03,1.806e+04
125.0,1.224e+04,6.903e+03,2.123e+03,2.127e+04
126.6,1.217e+04,7.715e+03,2.138e+03,2.203e+04
128.1,1.243e+04,9.920e+03,2.491e+03,2.484e+04
129.7,1.338e+04,1.203e+04,3.428e+03,2.885e+04
131.3,1.377e+04,1.351e+04,4.573e+03,3.186e+04
132.9,8.682e+03,9.161e+03,3.567e+03,2.141e+04
134.5,2.634e+03,2.803e+03,1.537e+03,6.974e+03
136.0,1.821e+03,1.751e+03,1.611e+03,5.183e+03
137.6,1.745e+03,1.739e+03,1.479e+03,4.964e+03
139.2,1.605e+03,1.930e+03,1.383e+03,4.918e+03
140.8,1.396e+03,1.848e+03,1.638e+03,4.882e+03
142.4,1.292e+03,1.726e+03,1.862e+03,4.880e+03
144.0,1.162e+03,1.559e+03,1.887e+03,4.608e+03
145.5,8.252e+02,1.040e+03,1.871e+03,3.736e+03
147.1,6.264e+02,6.457e+02,1.702e+03,2.974e+03
148.7,5.457e+02,5.601e+02,1.328e+03,2.434e+03
150.3,5.258e+02,6.873e+02,9.700e+02,2.183e+03
151.9,5.465e+02,8.216e+02,7.592e+02,2.127e+03
153.4,5.553e+02,9.122e+02,6.989e+02,2.166e+03
155.0,6.412e+02,1.054e+03,7.889e+02,2.484e+03
156.6,8.108e+02,1.276e+03,9.286e+02,3.016e+03
158.2,1.042e+03,1.636e+03,1.346e+03,4.024e+03
159.8,1.108e+03,1.784e+03,1.806e+03,4.698e+03
161.4,9.951e+02,1.615e+03,1.813e+03,4.423e+03
162.9,8.404e+02,1.404e+03,1.644e+03,3.888e+03
164.5,7.418e+02,1.254e+03,1.525e+03,3.521e+03
166.1,6.722e+02,1.118e+03,1.347e+03,3.137e+03
167.7,5.501e+02,9.442e+02,1.115e+03,2.609e+03
169.3,3.894e+02,6.824e+02,8.905e+02,1.962e+03
170.8,2.970e+02,5.478e+02,7.484e+02,1.593e+03
172.4,2.582e+02,5.378e+02,6.148e+02,1.411e+03
174.0,2.331e+02,5.730e+02,4.970e+02,1.303e+03
175.6,2.342e+02,6.575e+02,4.055e+02,1.297e+03
177.2,2.345e+02,6.956e+02,3.359e+02,1.266e+03
178.8,2.097e+02,6.957e+02,2.920e+02,1.197e+03
180.3,1.784e+02,7.393e+02,2.711e+02,1.189e+03
181.9,1.790e+02,8.244e+02,2.464e+02,1.250e+03
183.5,1.593e+02,9.189e+02,2.623e+02,1.340e+03
185.1,1.633e+02,9.363e+02,2.797e+02,1.379e+03
186.7,1.495e+02,9.001e+02,2.841e+02,1.334e+03
188.2,1.204e+02,8.425e+02,3.135e+02,1.276e+03
189.8,1.137e+02,7.543e+02,3.472e+02,1.215e+03
191.4,1.074e+02,6.771e+02,3.695e+02,1.154e+03
193.0,1.125e+02,6.710e+02,4.132e+02,1.197e+03
194.6,1.248e+02,6.456e+02,4.707e+02,1.241e+03
196.2,1.215e+02,5.832e+02,5.383e+02,1.243e+03
197.7,1.130e+02,4.946e+02,5.508e+02,1.158e+03
199.3,1.049e+02,4.898e+02,5.855e+02,1.180e+03
