freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.332e+01,8.016e+01,7.513e+01,1.686e+02
1.6,1.991e+01,5.682e+01,8.751e+01,1.642e+02
3.2,1.646e+01,3.559e+01,6.849e+01,1.205e+02
4.8,1.679e+01,4.531e+02,6.919e+01,5.390e+02
6.3,2.562e+01,1.433e+03,7.614e+01,1.534e+03
7.9,3.314e+01,1.984e+03,7.522e+01,2.093e+03
9.5,2.459e+01,2.716e+03,7.248e+01,2.813e+03
11.1,2.465e+01,3.656e+03,6.681e+01,3.747e+03
12.7,2.958e+01,4.612e+03,6.149e+01,4.703e+03
14.3,3.144e+01,5.792e+03,6.417e+01,5.888e+03
15.9,2.499e+01,6.897e+03,7.069e+01,6.993e+03
17.5,2.078e+01,8.460e+03,7.832e+01,8.559e+03
19.0,2.395e+01,1.090e+04,1.292e+02,1.105e+04
20.6,3.148e+01,1.329e+04,4.172e+02,1.374e+04
22.2,9.829e+01,1.834e+04,2.491e+03,2.093e+04
23.8,2.736e+02,2.134e+04,6.419e+03,2.803e+04
25.4,4.061e+02,1.604e+04,5.353e+03,2.180e+04
27.0,5.133e+02,1.903e+04,4.681e+03,2.423e+04
28.6,2.827e+02,2.133e+04,8.659e+03,3.027e+04
30.2,5.828e+02,1.504e+04,7.511e+03,2.313e+04
31.7,9.721e+02,1.855e+04,9.845e+03,2.936e+04
33.3,5.915e+02,2.227e+04,1.928e+04,4.215e+04
34.9,3.060e+02,2.305e+04,2.780e+04,5.116e+04
36.5,6.034e+02,3.470e+04,4.760e+04,8.291e+04
38.1,1.135e+03,4.086e+04,1.187e+05,1.606e+05
39.7,5.521e+02,1.438e+04,1.290e+05,1.439e+05
41.3,8.707e+02,4.916e+03,7.456e+04,8.035e+04
42.9,6.691e+03,1.076e+04,4.830e+04,6.575e+04
44.4,2.261e+04,1.768e+04,5.008e+04,9.037e+04
46.0,2.353e+04,1.980e+04,5.680e+04,1.001e+05
47.6,2.483e+04,2.358e+04,4.974e+04,9.816e+04
49.2,2.414e+04,3.669e+04,4.558e+04,1.064e+05
50.8,2.347e+04,6.393e+04,5.696e+04,1.444e+05
52.4,2.747e+04,9.389e+04,6.350e+04,1.849e+05
54.0,3.240e+04,1.067e+05,5.455e+04,1.937e+05
55.6,3.238e+04,8.825e+04,3.452e+04,1.552e+05
