freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.360e+01,1.729e+02,1.139e+02,3.004e+02
1.6,3.034e+01,1.424e+02,1.062e+02,2.790e+02
3.2,2.812e+01,7.070e+01,7.350e+01,1.723e+02
4.8,2.844e+01,2.964e+02,2.297e+02,5.545e+02
6.3,3.183e+01,8.450e+02,6.220e+02,1.499e+03
7.9,3.679e+01,1.335e+03,9.288e+02,2.300e+03
9.5,3.825e+01,1.921e+03,1.336e+03,3.295e+03
11.1,4.163e+01,2.591e+03,1.857e+03,4.489e+03
12.7,5.031e+01,3.354e+03,2.427e+03,5.831e+03
14.3,5.698e+01,4.364e+03,3.133e+03,7.554e+03
15.9,6.516e+01,5.804e+03,4.277e+03,1.015e+04
17.4,7.265e+01,6.451e+03,4.653e+03,1.118e+04
19.0,6.105e+01,7.458e+03,5.034e+03,1.255e+04
20.6,5.641e+01,9.907e+03,6.642e+03,1.660e+04
22.2,1.454e+02,1.254e+04,8.644e+03,2.133e+04
23.8,3.849e+02,1.511e+04,1.117e+04,2.666e+04
25.4,4.532e+02,1.802e+04,1.345e+04,3.192e+04
27.0,3.699e+02,1.722e+04,1.379e+04,3.138e+04
28.5,2.460e+02,1.547e+04,1.445e+04,3.017e+04
30.1,3.718e+02,1.996e+04,1.984e+04,4.017e+04
31.7,7.741e+02,2.769e+04,2.301e+04,5.148e+04
33.3,1.320e+03,3.716e+04,1.531e+04,5.378e+04
34.9,1.786e+03,4.103e+04,1.524e+04,5.806e+04
36.5,1.497e+03,3.730e+04,2.778e+04,6.657e+04
38.1,1.039e+03,4.385e+04,3.665e+04,8.154e+04
39.6,1.069e+03,5.427e+04,4.493e+04,1.003e+05
41.2,9.358e+02,6.757e+04,5.054e+04,1.190e+05
42.8,1.213e+03,8.539e+04,6.352e+04,1.501e+05
44.4,2.126e+03,1.074e+05,7.297e+04,1.825e+05
46.0,1.736e+03,1.424e+05,6.812e+04,2.122e+05
47.6,4.578e+02,1.834e+05,8.789e+04,2.717e+05
49.2,1.549e+02,2.201e+05,1.185e+05,3.388e+05
50.7,4.594e+02,2.363e+05,1.375e+05,3.742e+05
52.3,8.493e+02,2.269e+05,1.331e+05,3.608e+05
53.9,5.614e+02,2.549e+05,1.543e+05,4.097e+05
55.5,4.974e+02,3.175e+05,1.969e+05,5.149e+05
57.1,7.137e+02,2.986e+05,1.918e+05,4.911e+05
58.7,1.144e+03,3.050e+05,2.048e+05,5.110e+05
60.3,1.473e+03,3.829e+05,2.675e+05,6.519e+05
61.8,1.311e+03,3.978e+05,2.827e+05,6.818e+05
63.4,1.173e+03,3.255e+05,2.351e+05,5.618e+05
65.0,1.397e+03,2.534e+05,1.886e+05,4.434e+05
66.6,1.582e+03,1.955e+05,1.485e+05,3.456e+05
68.2,1.182e+03,1.501e+05,1.136e+05,2.649e+05
69.8,9.541e+02,1.223e+05,9.680e+04,2.200e+05
71.4,8.535e+02,8.925e+04,7.329e+04,1.634e+05
72.9,6.829e+02,6.119e+04,5.128e+04,1.132e+05
74.5,5.982e+02,4.456e+04,3.805e+04,8.320e+04
76.1,1.228e+03,3.654e+04,3.107e+04,6.884e+04
77.7,3.330e+03,3.194e+04,2.618e+04,6.144e+04
79.3,5.138e+03,2.888e+04,2.334e+04,5.736e+04
80.9,8.532e+03,2.950e+04,2.397e+04,6.200e+04
82.5,5.009e+03,2.389e+04,1.987e+04,4.877e+04
84.0,8.496e+03,2.221e+04,1.851e+04,4.921e+04
85.6,1.151e+04,2.236e+04,1.702e+04,5.090e+04
87.2,1.678e+04,1.381e+04,1.156e+04,4.215e+04
88.8,5.332e+04,1.321e+04,9.106e+03,7.563e+04
90.4,7.822e+04,1.860e+04,9.339e+03,1.062e+05
92.0,3.301e+04,1.512e+04,8.778e+03,5.691e+04
93.6,9.160e+03,1.059e+04,7.434e+03,2.719e+04
95.1,3.872e+03,8.119e+03,6.234e+03,1.823e+04
96.7,2.143e+03,6.572e+03,5.128e+03,1.384e+04
98.3,1.069e+03,5.978e+03,4.294e+03,1.134e+04
99.9,9.413e+02,8.864e+03,6.572e+03,1.638e+04
101.5,8.666e+02,1.326e+04,1.054e+04,2.467e+04
103.1,1.244e+03,1.310e+04,1.073e+04,2.507e+04
104.7,3.572e+03,1.180e+04,1.012e+04,2.549e+04
106.2,9.940e+03,1.142e+04,1.033e+04,3.169e+04
107.8,2.227e+04,1.309e+04,1.159e+04,4.695e+04
109.4,3.307e+04,1.444e+04,1.250e+04,6.001e+04
111.0,3.165e+04,1.429e+04,1.268e+04,5.862e+04
112.6,2.366e+04,1.481e+04,1.567e+04,5.415e+04
114.2,2.003e+04,1.570e+04,1.746e+04,5.318e+04
115.8,1.861e+04,1.488e+04,1.659e+04,5.008e+04
117.3,1.691e+04,1.303e+04,1.665e+04,4.658e+04
118.9,1.560e+04,1.153e+04,1.724e+04,4.437e+04
120.5,1.332e+04,9.917e+03,1.745e+04,4.068e+04
122.1,1.029e+04,8.210e+03,1.736e+04,3.586e+04
123.7,7.337e+03,7.313e+03,1.846e+04,3.311e+04
125.3,6.637e+03,5.784e+03,1.811e+04,3.053e+04
126.9,1.036e+04,4.989e+03,1.822e+04,3.357e+04
128.4,1.670e+04,4.393e+03,2.060e+04,4.169e+04
130.0,2.332e+04,3.170e+03,2.299e+04,4.948e+04
131.6,2.612e+04,2.404e+03,2.332e+04,5.184e+04
133.2,1.697e+04,2.080e+03,1.636e+04,3.542e+04
134.8,7.894e+03,2.174e+03,1.168e+04,2.174e+04
136.4,7.440e+03,2.618e+03,1.222e+04,2.228e+04
138.0,7.277e+03,3.141e+03,1.266e+04,2.308e+04
139.5,8.090e+03,4.830e+03,1.678e+04,2.970e+04
141.1,9.307e+03,6.666e+03,2.100e+04,3.698e+04
142.7,1.073e+04,7.337e+03,2.199e+04,4.005e+04
144.3,1.148e+04,7.433e+03,2.134e+04,4.025e+04
145.9,1.211e+04,8.478e+03,2.393e+04,4.452e+04
147.5,1.359e+04,9.753e+03,2.696e+04,5.031e+04
149.1,1.570e+04,1.040e+04,2.725e+04,5.335e+04
150.6,1.887e+04,1.062e+04,2.804e+04,5.753e+04
152.2,2.203e+04,1.018e+04,2.923e+04,6.144e+04
153.8,2.295e+04,8.454e+03,2.634e+04,5.774e+04
155.4,2.222e+04,6.145e+03,2.076e+04,4.912e+04
157.0,2.102e+04,4.196e+03,1.325e+04,3.846e+04
158.6,2.209e+04,3.028e+03,7.868e+03,3.299e+04
160.2,2.393e+04,2.494e+03,5.094e+03,3.152e+04
161.7,2.563e+04,2.702e+03,4.770e+03,3.310e+04
163.3,2.401e+04,3.032e+03,4.631e+03,3.167e+04
164.9,2.097e+04,2.959e+03,4.349e+03,2.828e+04
166.5,1.651e+04,2.358e+03,3.843e+03,2.271e+04
168.1,1.177e+04,1.672e+03,3.131e+03,1.657e+04
169.7,7.634e+03,1.329e+03,3.241e+03,1.220e+04
171.3,5.627e+03,1.775e+03,4.038e+03,1.144e+04
172.8,4.462e+03,2.775e+03,5.751e+03,1.299e+04
