freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.520e+01,1.068e+02,1.637e+02,3.058e+02
1.6,3.184e+01,6.823e+01,1.327e+02,2.328e+02
3.2,1.987e+01,3.172e+01,6.287e+01,1.145e+02
4.8,5.552e+01,4.124e+02,7.082e+01,5.387e+02
6.3,1.472e+02,1.346e+03,8.875e+01,1.582e+03
7.9,2.414e+02,2.307e+03,9.394e+01,2.642e+03
9.5,3.565e+02,3.545e+03,9.371e+01,3.996e+03
11.1,5.257e+02,5.218e+03,9.516e+01,5.839e+03
12.7,7.779e+02,7.762e+03,9.621e+01,8.636e+03
14.3,1.210e+03,1.145e+04,9.700e+01,1.276e+04
15.9,2.261e+03,1.864e+04,9.095e+01,2.100e+04
17.5,4.658e+03,3.326e+04,1.449e+02,3.806e+04
19.0,5.363e+03,3.227e+04,4.000e+02,3.803e+04
20.6,3.491e+03,1.841e+04,7.049e+02,2.261e+04
22.2,1.669e+03,1.008e+04,8.209e+02,1.257e+04
23.8,5.363e+02,1.105e+04,7.868e+02,1.237e+04
25.4,1.160e+03,1.710e+04,6.189e+02,1.888e+04
27.0,5.449e+03,2.543e+04,4.008e+02,3.128e+04
28.6,1.343e+04,4.046e+04,2.323e+03,5.621e+04
30.2,3.079e+04,8.834e+04,4.401e+04,1.631e+05
31.7,5.259e+04,1.183e+05,1.589e+05,3.298e+05
33.3,3.366e+04,5.766e+04,1.747e+05,2.660e+05
34.9,1.072e+04,2.728e+04,1.672e+05,2.052e+05
36.5,8.890e+03,4.701e+04,2.085e+05,2.644e+05
38.1,1.894e+04,6.823e+04,1.379e+05,2.251e+05
39.7,2.311e+04,6.211e+04,6.084e+04,1.461e+05
41.3,3.388e+04,4.475e+04,2.637e+04,1.050e+05
42.9,6.356e+04,3.312e+04,5.416e+04,1.508e+05
44.4,5.962e+04,1.798e+04,1.045e+05,1.821e+05
46.0,3.425e+04,1.434e+04,1.446e+05,1.932e+05
47.6,2.528e+04,3.750e+04,2.056e+05,2.683e+05
49.2,2.654e+04,7.064e+04,3.128e+05,4.100e+05
50.8,3.164e+04,6.791e+04,4.591e+05,5.586e+05
52.4,3.091e+04,4.899e+04,4.353e+05,5.152e+05
54.0,2.377e+04,3.724e+04,2.697e+05,3.307e+05
