freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.561e+01,2.202e+02,1.162e+02,3.620e+02
1.6,2.732e+01,1.336e+02,1.080e+02,2.690e+02
3.2,1.834e+01,3.842e+01,6.702e+01,1.238e+02
4.8,3.232e+01,5.300e+02,6.877e+01,6.311e+02
6.3,2.131e+02,2.249e+03,7.791e+01,2.540e+03
7.9,3.821e+02,2.965e+03,8.805e+01,3.435e+03
9.5,1.312e+02,3.145e+03,9.165e+01,3.368e+03
11.1,1.062e+02,4.300e+03,8.971e+01,4.496e+03
12.7,1.350e+02,5.651e+03,8.615e+01,5.873e+03
14.3,1.873e+02,7.450e+03,8.194e+01,7.719e+03
15.9,3.689e+02,1.037e+04,2.830e+02,1.102e+04
17.5,7.563e+02,1.274e+04,1.796e+03,1.529e+04
19.0,3.966e+02,1.220e+04,2.327e+03,1.492e+04
20.6,9.741e+01,1.573e+04,1.061e+03,1.688e+04
22.2,1.153e+02,2.068e+04,9.273e+02,2.172e+04
23.8,2.395e+02,2.811e+04,9.005e+02,2.925e+04
25.4,6.507e+02,3.220e+04,4.741e+02,3.332e+04
27.0,1.277e+03,3.213e+04,3.974e+02,3.381e+04
28.6,1.535e+03,3.831e+04,5.796e+02,4.042e+04
30.2,1.672e+03,5.615e+04,4.664e+02,5.828e+04
31.7,2.199e+03,8.392e+04,4.642e+02,8.658e+04
33.3,3.236e+03,1.194e+05,7.321e+02,1.234e+05
34.9,4.952e+03,1.613e+05,1.954e+03,1.682e+05
36.5,4.903e+03,2.064e+05,5.483e+03,2.168e+05
38.1,4.783e+03,3.274e+05,1.051e+04,3.427e+05
39.7,4.472e+03,3.862e+05,1.306e+04,4.037e+05
41.3,7.081e+03,2.880e+05,1.281e+04,3.078e+05
42.8,2.117e+04,2.340e+05,9.430e+03,2.646e+05
44.4,3.129e+04,2.147e+05,7.223e+03,2.532e+05
46.0,3.035e+04,2.085e+05,1.724e+04,2.561e+05
47.6,2.697e+04,1.943e+05,3.817e+04,2.595e+05
49.2,2.235e+04,1.727e+05,7.610e+04,2.711e+05
50.8,1.892e+04,1.607e+05,1.305e+05,3.101e+05
52.4,1.769e+04,1.401e+05,1.846e+05,3.425e+05
54.0,1.827e+04,1.119e+05,2.370e+05,3.672e+05
55.5,1.634e+04,8.250e+04,2.483e+05,3.471e+05
57.1,1.271e+04,5.738e+04,2.441e+05,3.141e+05
58.7,1.676e+04,4.122e+04,2.836e+05,3.415e+05
60.3,2.491e+04,3.634e+04,3.853e+05,4.466e+05
61.9,3.639e+04,5.219e+04,5.200e+05,6.086e+05
63.5,5.443e+04,1.111e+05,5.900e+05,7.555e+05
65.1,5.317e+04,1.599e+05,4.412e+05,6.542e+05
66.7,3.479e+04,1.429e+05,2.394e+05,4.171e+05
68.2,2.318e+04,1.262e+05,1.616e+05,3.110e+05
69.8,1.904e+04,1.144e+05,1.234e+05,2.569e+05
71.4,1.693e+04,8.907e+04,7.507e+04,1.811e+05
73.0,1.452e+04,6.695e+04,4.499e+04,1.265e+05
74.6,1.110e+04,6.226e+04,2.412e+04,9.748e+04
76.2,1.464e+04,6.077e+04,1.800e+04,9.342e+04
77.8,3.226e+04,4.915e+04,4.394e+04,1.253e+05
79.4,5.198e+04,2.133e+04,1.019e+05,1.752e+05
80.9,4.235e+04,9.663e+03,1.118e+05,1.639e+05
82.5,2.380e+04,1.708e+04,8.028e+04,1.212e+05
84.1,1.301e+04,2.148e+04,7.548e+04,1.100e+05
85.7,8.176e+03,2.007e+04,7.671e+04,1.050e+05
87.3,5.720e+03,1.741e+04,6.895e+04,9.208e+04
88.9,5.051e+03,1.483e+04,6.891e+04,8.880e+04
90.5,5.176e+03,1.208e+04,7.154e+04,8.880e+04
92.0,4.470e+03,1.057e+04,5.720e+04,7.224e+04
93.6,3.492e+03,1.030e+04,3.941e+04,5.321e+04
95.2,2.888e+03,1.041e+04,2.732e+04,4.062e+04
96.8,2.510e+03,9.772e+03,2.110e+04,3.338e+04
98.4,2.384e+03,8.625e+03,1.707e+04,2.808e+04
100.0,2.373e+03,7.842e+03,1.470e+04,2.492e+04
101.6,2.529e+03,7.641e+03,1.340e+04,2.357e+04
103.2,3.089e+03,7.910e+03,1.271e+04,2.371e+04
104.7,3.797e+03,8.360e+03,1.200e+04,2.416e+04
106.3,6.086e+03,1.147e+04,1.220e+04,2.976e+04
107.9,1.139e+04,1.943e+04,1.375e+04,4.457e+04
109.5,1.744e+04,2.843e+04,1.544e+04,6.132e+04
111.1,2.102e+04,3.384e+04,1.646e+04,7.132e+04
112.7,2.293e+04,3.666e+04,1.687e+04,7.646e+04
114.3,2.540e+04,3.996e+04,1.716e+04,8.253e+04
115.9,2.650e+04,4.082e+04,1.655e+04,8.386e+04
117.4,2.672e+04,3.989e+04,1.499e+04,8.160e+04
119.0,2.611e+04,3.757e+04,1.372e+04,7.741e+04
120.6,2.307e+04,3.227e+04,1.318e+04,6.852e+04
122.2,1.869e+04,2.588e+04,1.175e+04,5.633e+04
123.8,1.541e+04,2.162e+04,8.278e+03,4.531e+04
125.4,1.351e+04,1.948e+04,6.549e+03,3.954e+04
127.0,1.024e+04,1.580e+04,5.297e+03,3.134e+04
128.5,6.928e+03,1.082e+04,3.620e+03,2.137e+04
130.1,4.512e+03,7.702e+03,2.786e+03,1.500e+04
131.7,2.152e+03,5.922e+03,2.055e+03,1.013e+04
133.3,8.398e+02,2.606e+03,1.140e+03,4.585e+03
134.9,5.427e+02,8.495e+02,7.452e+02,2.137e+03
136.5,5.042e+02,7.409e+02,6.134e+02,1.858e+03
138.1,4.081e+02,6.385e+02,4.414e+02,1.488e+03
139.7,3.052e+02,5.170e+02,3.922e+02,1.214e+03
141.2,2.666e+02,4.476e+02,4.083e+02,1.122e+03
142.8,2.554e+02,3.555e+02,5.321e+02,1.143e+03
144.4,2.242e+02,2.381e+02,6.106e+02,1.073e+03
146.0,2.175e+02,1.559e+02,6.769e+02,1.050e+03
147.6,2.159e+02,1.118e+02,6.950e+02,1.023e+03
149.2,2.082e+02,1.013e+02,6.817e+02,9.912e+02
150.8,1.976e+02,1.081e+02,6.509e+02,9.566e+02
152.4,1.941e+02,1.310e+02,7.052e+02,1.030e+03
153.9,1.931e+02,1.637e+02,8.761e+02,1.233e+03
155.5,1.901e+02,1.943e+02,1.198e+03,1.582e+03
157.1,1.616e+02,1.895e+02,1.695e+03,2.046e+03
158.7,1.546e+02,2.038e+02,2.386e+03,2.745e+03
160.3,1.728e+02,3.452e+02,2.444e+03,2.961e+03
161.9,1.618e+02,4.883e+02,1.603e+03,2.253e+03
163.5,1.683e+02,4.966e+02,1.052e+03,1.717e+03
165.1,1.840e+02,4.131e+02,9.558e+02,1.553e+03
166.6,1.638e+02,2.636e+02,9.152e+02,1.343e+03
168.2,1.328e+02,1.848e+02,1.017e+03,1.335e+03
169.8,8.918e+01,1.139e+02,9.090e+02,1.112e+03
171.4,7.390e+01,9.007e+01,9.453e+02,1.109e+03
173.0,5.780e+01,7.052e+01,9.757e+02,1.104e+03
174.6,5.051e+01,6.865e+01,1.015e+03,1.135e+03
176.2,5.189e+01,9.427e+01,1.118e+03,1.264e+03
177.7,6.793e+01,1.248e+02,1.211e+03,1.404e+03
179.3,7.545e+01,1.439e+02,1.163e+03,1.382e+03
180.9,7.826e+01,1.498e+02,1.051e+03,1.279e+03
182.5,9.350e+01,1.438e+02,9.674e+02,1.205e+03
184.1,1.148e+02,1.398e+02,9.125e+02,1.167e+03
185.7,1.318e+02,1.279e+02,9.267e+02,1.186e+03
187.3,1.361e+02,1.215e+02,9.295e+02,1.187e+03
188.9,1.161e+02,1.270e+02,9.245e+02,1.168e+03
