freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.195e+01,1.536e+01,8.533e+01,1.826e+02
1.6,7.427e+01,2.451e+01,9.960e+01,1.984e+02
3.2,4.556e+01,2.052e+01,7.406e+01,1.401e+02
4.8,2.494e+02,2.540e+01,2.542e+02,5.290e+02
6.3,7.322e+02,6.060e+01,6.779e+02,1.471e+03
7.9,1.088e+03,5.606e+01,1.009e+03,2.153e+03
9.5,1.542e+03,2.688e+01,1.432e+03,3.001e+03
11.1,2.180e+03,3.760e+01,2.043e+03,4.261e+03
12.7,2.927e+03,6.125e+01,2.899e+03,5.887e+03
14.3,3.925e+03,2.763e+02,4.710e+03,8.912e+03
15.9,4.821e+03,1.461e+03,6.318e+03,1.260e+04
17.4,5.628e+03,1.270e+03,3.412e+03,1.031e+04
19.0,7.917e+03,4.267e+02,4.008e+03,1.235e+04
20.6,1.109e+04,7.172e+02,6.101e+03,1.791e+04
22.2,1.672e+04,1.776e+03,8.449e+03,2.694e+04
23.8,2.676e+04,4.974e+03,1.116e+04,4.290e+04
25.4,2.459e+04,6.942e+03,8.714e+03,4.025e+04
27.0,1.277e+04,4.116e+03,7.359e+03,2.425e+04
28.5,1.009e+04,2.672e+03,9.260e+03,2.202e+04
30.1,8.464e+03,2.877e+03,1.459e+04,2.593e+04
31.7,6.966e+03,3.100e+03,2.009e+04,3.016e+04
33.3,8.045e+03,2.728e+03,2.224e+04,3.301e+04
34.9,1.219e+04,1.820e+03,2.282e+04,3.682e+04
36.5,1.904e+04,1.828e+03,2.896e+04,4.983e+04
38.1,2.591e+04,3.274e+03,3.672e+04,6.590e+04
39.6,2.492e+04,3.440e+03,2.863e+04,5.699e+04
41.2,2.207e+04,2.819e+03,1.916e+04,4.405e+04
42.8,2.111e+04,2.571e+03,1.186e+04,3.554e+04
44.4,2.008e+04,1.014e+03,1.358e+04,3.467e+04
46.0,2.170e+04,3.624e+02,1.810e+04,4.015e+04
47.6,2.827e+04,4.646e+02,2.327e+04,5.200e+04
49.2,3.619e+04,5.672e+02,3.034e+04,6.709e+04
50.7,4.305e+04,5.992e+02,3.750e+04,8.114e+04
52.3,4.557e+04,6.252e+02,4.076e+04,8.695e+04
53.9,4.968e+04,1.165e+03,4.404e+04,9.489e+04
55.5,6.717e+04,2.174e+03,5.732e+04,1.267e+05
57.1,8.490e+04,2.623e+03,7.062e+04,1.581e+05
58.7,8.191e+04,2.184e+03,6.904e+04,1.531e+05
60.3,6.454e+04,1.963e+03,5.887e+04,1.254e+05
61.8,5.037e+04,2.055e+03,5.244e+04,1.049e+05
63.4,5.872e+04,2.745e+03,6.426e+04,1.257e+05
65.0,9.249e+04,4.220e+03,9.970e+04,1.964e+05
66.6,1.342e+05,6.105e+03,1.449e+05,2.852e+05
68.2,1.558e+05,7.664e+03,1.693e+05,3.327e+05
69.8,1.535e+05,8.683e+03,1.697e+05,3.318e+05
71.4,1.325e+05,8.838e+03,1.485e+05,2.898e+05
72.9,1.107e+05,8.747e+03,1.253e+05,2.447e+05
74.5,1.048e+05,9.339e+03,1.187e+05,2.329e+05
76.1,1.126e+05,1.087e+04,1.272e+05,2.507e+05
77.7,1.089e+05,1.228e+04,1.228e+05,2.440e+05
79.3,9.199e+04,1.183e+04,1.049e+05,2.087e+05
80.9,7.189e+04,1.079e+04,8.227e+04,1.650e+05
